vds	Id(M1)
Step Information: Vgs=4.408  (Step: 5/6)
0.000000000000000e+00	-4.800339e-37
5.000000000000000e-02	8.106115e-02
1.000000000000000e-01	1.539878e-01
1.500000000000000e-01	2.184110e-01
2.000000000000000e-01	2.739331e-01
2.500000000000000e-01	3.201245e-01
3.000000000000000e-01	3.565208e-01
3.500000000000000e-01	3.826177e-01
4.000000000000000e-01	3.978668e-01
4.500000000000000e-01	4.019742e-01
4.999999999999999e-01	4.025488e-01
5.499999999999999e-01	4.031234e-01
6.000000000000000e-01	4.036979e-01
6.500000000000000e-01	4.042724e-01
7.000000000000001e-01	4.048468e-01
7.500000000000001e-01	4.054211e-01
8.000000000000002e-01	4.059954e-01
8.500000000000002e-01	4.065697e-01
9.000000000000002e-01	4.071438e-01
9.500000000000003e-01	4.077179e-01
1.000000000000000e+00	4.082920e-01
1.050000000000000e+00	4.088660e-01
1.100000000000000e+00	4.094400e-01
1.150000000000000e+00	4.100139e-01
1.200000000000000e+00	4.105877e-01
1.250000000000000e+00	4.111615e-01
1.300000000000000e+00	4.117352e-01
1.350000000000001e+00	4.123088e-01
1.400000000000001e+00	4.128824e-01
1.450000000000001e+00	4.134560e-01
1.500000000000001e+00	4.140295e-01
1.550000000000001e+00	4.146029e-01
1.600000000000001e+00	4.151763e-01
1.650000000000001e+00	4.157496e-01
1.700000000000001e+00	4.163229e-01
1.750000000000001e+00	4.168960e-01
1.800000000000001e+00	4.174692e-01
1.850000000000001e+00	4.180423e-01
1.900000000000001e+00	4.186153e-01
1.950000000000001e+00	4.191883e-01
2.000000000000001e+00	4.197612e-01
2.050000000000001e+00	4.203341e-01
2.100000000000001e+00	4.209069e-01
2.150000000000000e+00	4.214796e-01
2.200000000000000e+00	4.220523e-01
2.250000000000000e+00	4.226249e-01
2.300000000000000e+00	4.231975e-01
2.350000000000000e+00	4.237700e-01
2.399999999999999e+00	4.243425e-01
2.449999999999999e+00	4.249149e-01
2.499999999999999e+00	4.254873e-01
2.549999999999999e+00	4.260595e-01
2.599999999999999e+00	4.266317e-01
2.649999999999999e+00	4.272039e-01
2.699999999999998e+00	4.277760e-01
2.749999999999998e+00	4.283481e-01
2.799999999999998e+00	4.289201e-01
2.849999999999998e+00	4.294921e-01
2.899999999999998e+00	4.300640e-01
2.949999999999998e+00	4.306358e-01
2.999999999999997e+00	4.312076e-01
3.049999999999997e+00	4.317793e-01
3.099999999999997e+00	4.323510e-01
3.149999999999997e+00	4.329225e-01
3.199999999999997e+00	4.334941e-01
3.249999999999996e+00	4.340656e-01
3.299999999999996e+00	4.346370e-01
3.349999999999996e+00	4.352084e-01
3.399999999999996e+00	4.357797e-01
3.449999999999996e+00	4.363510e-01
3.499999999999996e+00	4.369222e-01
3.549999999999995e+00	4.374934e-01
3.599999999999995e+00	4.380645e-01
3.649999999999995e+00	4.386355e-01
3.699999999999995e+00	4.392065e-01
3.749999999999995e+00	4.397774e-01
3.799999999999994e+00	4.403483e-01
3.849999999999994e+00	4.409191e-01
3.899999999999994e+00	4.414898e-01
3.949999999999994e+00	4.420605e-01
3.999999999999994e+00	4.426312e-01
4.049999999999994e+00	4.432018e-01
4.099999999999993e+00	4.437723e-01
4.149999999999993e+00	4.443428e-01
4.199999999999993e+00	4.449132e-01
4.249999999999993e+00	4.454835e-01
4.299999999999993e+00	4.460538e-01
4.349999999999993e+00	4.466241e-01
4.399999999999992e+00	4.471943e-01
4.449999999999992e+00	4.477644e-01
4.499999999999992e+00	4.483345e-01
4.549999999999992e+00	4.489045e-01
4.599999999999992e+00	4.494745e-01
4.649999999999991e+00	4.500444e-01
4.699999999999991e+00	4.506142e-01
4.749999999999991e+00	4.511840e-01
4.799999999999991e+00	4.517537e-01
4.849999999999991e+00	4.523234e-01
4.899999999999991e+00	4.528930e-01
4.949999999999990e+00	4.534626e-01
4.999999999999990e+00	4.540321e-01
5.049999999999990e+00	4.546016e-01
5.099999999999990e+00	4.551710e-01
5.149999999999990e+00	4.557403e-01
5.199999999999990e+00	4.563096e-01
5.249999999999989e+00	4.568788e-01
5.299999999999989e+00	4.574480e-01
5.349999999999989e+00	4.580171e-01
5.399999999999989e+00	4.585862e-01
5.449999999999989e+00	4.591552e-01
5.499999999999988e+00	4.597241e-01
5.549999999999988e+00	4.602930e-01
5.599999999999988e+00	4.608619e-01
5.649999999999988e+00	4.614306e-01
5.699999999999988e+00	4.619994e-01
5.749999999999988e+00	4.625680e-01
5.799999999999987e+00	4.631366e-01
5.849999999999987e+00	4.637052e-01
5.899999999999987e+00	4.642737e-01
5.949999999999987e+00	4.648421e-01
5.999999999999987e+00	4.654105e-01
6.049999999999986e+00	4.659788e-01
6.099999999999986e+00	4.665471e-01
6.149999999999986e+00	4.671153e-01
6.199999999999986e+00	4.676835e-01
6.249999999999986e+00	4.682516e-01
6.299999999999986e+00	4.688196e-01
6.349999999999985e+00	4.693876e-01
6.399999999999985e+00	4.699555e-01
6.449999999999985e+00	4.705234e-01
6.499999999999985e+00	4.710912e-01
6.549999999999985e+00	4.716590e-01
6.599999999999985e+00	4.722267e-01
6.649999999999984e+00	4.727944e-01
6.699999999999984e+00	4.733620e-01
6.749999999999984e+00	4.739295e-01
6.799999999999984e+00	4.744970e-01
6.849999999999984e+00	4.750644e-01
6.899999999999983e+00	4.756318e-01
6.949999999999983e+00	4.761991e-01
6.999999999999983e+00	4.767664e-01
7.049999999999983e+00	4.773336e-01
7.099999999999983e+00	4.779007e-01
7.149999999999983e+00	4.784678e-01
7.199999999999982e+00	4.790349e-01
7.249999999999982e+00	4.796018e-01
7.299999999999982e+00	4.801688e-01
7.349999999999982e+00	4.807356e-01
7.399999999999982e+00	4.813024e-01
7.449999999999982e+00	4.818692e-01
7.499999999999981e+00	4.824359e-01
7.549999999999981e+00	4.830025e-01
7.599999999999981e+00	4.835691e-01
7.649999999999981e+00	4.841357e-01
7.699999999999981e+00	4.847021e-01
7.749999999999980e+00	4.852686e-01
7.799999999999980e+00	4.858349e-01
7.849999999999980e+00	4.864013e-01
7.899999999999980e+00	4.869675e-01
7.949999999999980e+00	4.875337e-01
7.999999999999980e+00	4.880998e-01
8.049999999999979e+00	4.886659e-01
8.099999999999980e+00	4.892320e-01
8.149999999999981e+00	4.897979e-01
8.199999999999982e+00	4.903639e-01
8.249999999999982e+00	4.909297e-01
8.299999999999983e+00	4.914955e-01
8.349999999999984e+00	4.920613e-01
8.399999999999984e+00	4.926270e-01
8.449999999999985e+00	4.931926e-01
8.499999999999986e+00	4.937582e-01
8.549999999999986e+00	4.943237e-01
8.599999999999987e+00	4.948892e-01
8.649999999999988e+00	4.954546e-01
8.699999999999989e+00	4.960200e-01
8.749999999999989e+00	4.965853e-01
8.799999999999990e+00	4.971505e-01
8.849999999999991e+00	4.977157e-01
8.899999999999991e+00	4.982809e-01
8.949999999999992e+00	4.988460e-01
9.000000000000000e+00	4.994110e-01
